_id,151a
ge128480,Hrusice (Česko : oblast)
ge128481,Kyongju (Korea)
ge128482,Sudety (Česko)
ge128483,"Hořice (Jičín, Česko)"
ge128484,"Hranice (Přerov, Česko)"
ge128485,"Huayla, Callejón de (Peru)"
ge128486,Málaga (Španělsko : provincie)
ge128487,Husinec (Česko : vodní nádrž)
ge128488,Jižní Dakota
ge128489,Istrijský poloostrov (Chorvatsko a Slovinsko)
ge128490,Nitra (Slovensko : oblast)
ge128491,Jeseník (Česko)
ge128492,Jeseníky (Česko : pohoří)
ge128494,Jihoafrická republika
ge128495,Korejská republika
ge128496,"Šeberov (Praha, Česko)"
ge128497,"K2 (Karákóram, Čína a Pákistán : hora)"
ge128498,Kampánie (Itálie : kraj)
ge128499,Karkonoski Park Narodowy (Polsko)
ge128500,Klatovy (Česko : oblast)
ge128501,Kokořín (Česko : oblast)
ge128502,Korea
ge128503,Krkonošský národní park (Česko)
ge128504,Křivoklát (Česko)
ge128505,Křivoklát (Česko : oblast)
ge128506,Polabí (Česko)
ge128507,Lamanšský průliv
ge128508,"Letná (Praha, Česko)"
ge128509,Liberec (Česko)
ge128510,Litovel (Česko : oblast)
ge128511,Litva
ge128512,Lotyšsko
ge128513,"Malá Strana (Praha, Česko)"
ge128514,"Mariánské Hory (Ostrava, Česko)"
ge128515,Mexiko
ge128516,"Modřany (Praha, Česko)"
ge128517,Montana (Bulharsko)
ge128518,"Moravská Ostrava (Ostrava, Česko)"
ge128519,Malhostovice (Česko)
ge128520,Most (Česko : oblast)
ge128521,"Mount Everest (Himálaj, Čína a Nepál : hora)"
ge128522,"Mühlenbrücke (Luzern, Švýcarsko)"
ge128523,Národní park Bavorský les (Německo)
ge128524,Neapol (Itálie)
ge128525,Nizozemsko
ge128526,Ticino (Švýcarsko)
ge128528,"Nové Hrady (České Budějovice, Česko)"
ge128529,"Nusle (Praha, Česko)"
ge128530,"Nyiragongo (Kongo, Kinshasa : hora)"
ge128531,Náchod (Česko : oblast)
ge128532,Národní park Podyjí (Česko)
ge128533,Národní park Šumava (Česko)
ge128534,Olomouc (Česko : oblast)
ge128535,Opava (Česko : oblast)
ge128536,"Ostaš (Broumovská vrchovina, Česko : hora)"
ge128537,Ostrava (Česko)
ge128538,"Ostrava-Jih (Ostrava, Česko)"
ge128539,Oybin (Německo)
ge128540,Park Narodowy Gór Stołowych (Polsko)
ge128541,Pavlovské vrchy (Česko)
ge128542,Petrohrad (Rusko)
ge128543,Piková dáma (Česko : jeskyně)
ge128544,Pod hradem (Česko : jeskyně)
ge128545,Podkarpatská Rus
ge128546,"Poruba (Ostrava, Česko)"
ge128547,Praha (Česko : kraj)
ge128548,Praha 1 (Česko)
ge128549,Praha 10 (Česko)
ge128550,Praha 11 (Česko)
ge128551,Praha 13 (Česko)
ge128552,Praha 3 (Česko)
ge128553,Praha 4 (Česko)
ge128554,Praha 5 (Česko)
ge128555,Praha 7 (Česko)
ge128556,Praha 8 (Česko)
ge128557,"Nuzířov (Malhostovice, Česko)"
ge128558,Dětřichov nad Bystřicí (Česko)
ge128559,Provensálské Alpy (Francie : pohoří)
ge128560,Písek (Česko : oblast)
ge128561,"Přívoz (Ostrava, Česko)"
ge128562,Rhodos (Řecko : ostrov)
ge128564,"Roztoky (Praha-západ, Česko)"
ge128565,Porúří (Německo)
ge128566,Rusko
ge128567,Lăpuş (Rumunsko : oblast)
ge128568,Sajála (Egypt : archeologická lokalita)
ge128569,Sanfranciský záliv (Kalifornie)
ge128570,Sankt Gallen (Švýcarsko)
ge128571,Sasko (Německo)
ge128572,Saské Švýcarsko (Německo)
