place,QID
Lipince,Q1804133
Lipolticích,Q734531
Lipově,Q1827421
Líském,Q1495457
Lisově,Q1828046
Líšném,Q1879584
Litoboři,Q1545622
Litohoři,Q165992
Litohradech,Q12033682
Litostrově,Q1865554
Litošicích,Q2521315
Litvínovicích,Q1866020
Lnářském Málkově,Q12033757
Lobečku,Q12033762
Lobendavě,Q1307793
Lodíně,Q1867828
Lochenicích,Q1867366
Lojovicích,Q12033811
Loktu,Q12033856
Loretě,Q12033935
Loučné Hoře,Q12034037
Loučné nad Desnou,Q1810197
Lounkách,Q12034004
Louňovicích,Q2211894
Lubině,Q10856842
Luboměři,Q1479852
Lučkovicích,Q12034457
Ludgeřovicích,Q782260
Ludslavicích,Q1305239
Luké,Q1665928
Lukohořanech,Q12034337
Lukovečku,Q1789676
Lutonině,Q269318
Lutotíně,Q12034439
Lutové,Q12034440
Lužci nad Cidlinou,Q2540466
Luženičkách,Q972606
Lysolajích,Q3490548
Lysůvkách,Q10856781
Lžíně,Q12034788
Macourově,Q2194170
Mačicích,Q12036199
Mahouši,Q1885081
Machové,Q741717
Majetíně,Q974069
Malčíně,Q1824268
Malé Bělé,Q12035043
Malé Hraštici,Q631358
Malé Losenici,Q72605
Malé Morávce,Q268409
Malé Moravě,Q1469422
Malé Štáhli,Q2353666
Malém Beranově,Q2438712
Malém Hradisku,Q2521093
Malém Rohozci,Q12035152
Malesicích,Q12034982
Maleticích,Q12034984
Malinci,Q12035000
Malkovicích,Q12035006
Malnicích,Q12035009
Maloměřicích,Q12035017
Malontech,Q1778205
Malšicích,Q2735270
Malých Kyšicích,Q2628019
Markoušovicích,Q12035585
Markvartovicích,Q2352045
Maršově nad Metují,Q12035962
Maršově u Úpice,Q1389469
Martinicích v Krkonoších,Q302574
Mastech,Q12036031
Mašťově,Q1800827
Mečichově,Q1176608
Měčíně,Q1588293
Medlánkách,Q11341889
Medlešicích,Q12036299
Medlicích,Q2556123
Mělnické Vrutici,Q12039312
Mělnickém Vtelnu,Q2498476
Merklovicích,Q12036404
Měrovicích nad Hanou,Q1411700
Městě Touškově,Q929808
Měšeticích,Q12039448
Mezicích,Q11778154
Meznu,Q2180733
Mezouni,Q1820615
Mikulášově,Q12037139
Mikulůvce,Q640225
Milenovicích,Q12037391
Milešovicích,Q1934742
Milíčevsi,Q11878129
Milíčovicích,Q2700509
Milovech,Q1935730
Mírči,Q12039234
Miroslavských Knínicích,Q1958230
Mirotíně,Q12038073
Mírové,Q1957786
Mířkově,Q2703653
Mistřicích,Q1385837
Míškovicích,Q991577
Mišovicích,Q775118
Mladcové,Q12038262
Mladějově,Q176874
Mladém,Q12038297
Mladém Smolivci,Q916118
Mladočově,Q12038287
Mladošovicích,Q1748085
Mladých Bukách,Q1932693
Mlečicích,Q2702633
Mlékosrbech,Q1407782
Mlýnském Struhadle,Q2524767
Močovicích,Q2561336
Modlešovicích,Q12038424
Modletíně,Q12038422
Modravě,Q1590715
Modřovicích,Q2698045
Mohelnici nad Jizerou,Q1378324
Mohuřicích,Q8557888
Mochtíně,Q2546844
Mojném,Q1628998
Mokrém Lomu,Q664626
Mokrouších,Q1943213
Moldavě,Q1740707
Molenburku,Q12038539
Moraveckých Pavlovicích,Q72410
Moravici,Q964513
Moravské Huzové,Q12038649
Moravském Žižkově,Q1023857
Moravských Prusech,Q775714
Mořicích,Q1447690
Mořině,Q2696661
Mostkovicích,Q2637506
Moutnicích,Q1620125
Mozolíně,Q12038839
Mrači,Q2696518
Mrkvojedech,Q12038889
Mříči,Q12039452
Mšeném u Budyně,Q1852598
Mšeném u Budyně nad Ohří,Q1852598
Muglinově,Q3489719
Mutišově,Q1955869
Myslechovicích,Q11787651
Myslejovicích,Q2157698
Mysletíně,Q1027423
Mysliboři,Q2042452
Myslíně,Q2716221
Mysločovicích,Q542893
Myslovicích,Q2677918
Mžanech,Q1959584
Nabdíně,Q12039613
Nabočanech,Q1884756
Nadějově,Q2635298
Nadrybách,Q2699466
Nadslavi,Q12040304
Nahém Újezdci,Q12040343
Nalžovech,Q12040369
Nalžovicích,Q924855
Návojné,Q597599
Nebílovech,Q1691015
Neborech,Q3507168
Nebřezinách,Q12040501
Nebušicích,Q2317527
Nedabyli,Q1973944
Nedaničkách,Q12040521
Nedvězí u Říčan,Q3509772
Nehasicích,Q12040560
Nekmíři,Q2230118
Nemošicích,Q12040662
Nemyčevsi,Q1846197
Nemyslovicích,Q2172445
Nemyšli,Q1916243
Nenakonicích,Q12040667
Nepolisech,Q2700375
Nepomyšli,Q1704083
Nerozhovicích,Q12040740
Nespekách,Q647243
Nestrašovicích,Q2194262
Nesvačilce,Q1978604
Neštěticích,Q12040888
Netěchovicích,Q8556239
Neuměřicích,Q2157405
Neumětelích,Q1919718
Neurazech,Q1421507
Nevězicích,Q2203497
Nevojicích,Q1982352
Nevolicích,Q2702834
Nevšové,Q12040848
Níkovicích,Q12041738
Niměřicích,Q2659922
Nišovicích,Q609282
Nítkovicích,Q1475936
Nítovicích,Q12041739
Nivě,Q671638
Nošovicích,Q583162
Nové Brtnici,Q12041165
Nové Kyselce,Q12041188
Nové Olešce,Q12041193
Nové Olešné,Q2003143
Nové Vsi nad Lužnicí,Q265608
Nové vsi nad Nisou,Q2003155
Nové Vsi u Klikova,Q12041248
Nové Vsi u Mladé Vožice,Q2538281
Nové Vsi u Nového Města na Moravě,Q72567
Novém Poddvorově,Q2273989
Novém Přerově,Q1023808
Novém Studenci,Q12041413
Novém Telečkově,Q166050
Novém Vestci,Q2189381
Nových Heřminovech,Q645371
Nových Holešovicích,Q12041313
Nových Hvězdlicích,Q1747558
Nových Kestřanech,Q12041318
Nových Kopistech,Q1781539
Nových Lesích,Q12041322
Nových Mlýnech,Q115133
Nových Valteřicích,Q11793344
Nuzicích,Q8556261
Nyklovicích,Q72389
Občově,Q2238161
Obecnici,Q2255173
Obědkovicích,Q1447703
oborách,Q431696
Obratani,Q1027326
Obrnicích,Q40602
Ohařích,Q2696846
Ochozu u Tišnova,Q2003091
Oldřichově na Hranicích,Q163971
Oldřichově v Hájích,Q1681371
Oldřišově,Q2524675
Olešníku,Q528155
Olovnici,Q2317820
Oplocanech,Q1371489
Opočnici,Q1576817
Oráčově,Q2188416
Orlíku,Q12042920
Ořechu,Q2377065
Oříkově,Q12043433
Osečné,Q1761692
Osečnici,Q2236449
Osenicích,Q12042962
Osicích,Q2695628
Osičkách,Q2280821
Oskořínku,Q290309
Oslavici,Q1613336
Osletíně,Q12042986
Osluchově,Q12042988
Osové,Q1240979
Osově,Q938550
Osové Bítýšce,Q2034527
Ospělově,Q12043022
Ostratě,Q1969883
Ostré,Q1593996
Ostromeči,Q12043051
Ostrově nad Oslavou,Q665211
Ostrožské Lhotě,Q1022350
Otěšicích,Q1275230
Otinovsi,Q1447716
Otonovicích,Q12043268
Otročiněvsi,Q1862219
Otročkově,Q12043283
Otvovicích,Q1520254
Oudoleni,Q1854409
Paceřicích,Q2045348
Padařově,Q12043500
Padařovicích,Q12043502
Padochově,Q12043503
Padouchově,Q12043506
Pálečku,Q12047693
Pánově,Q12047734
Panské Lhotě,Q12043728
Panských Dubenkách,Q126571
Paršovicích,Q1782721
Pařezské Lhotě,Q12044484
Pasečnici,Q2484266
Paštikách,Q4249932
Pavlovicích u Kojetína,Q1447649
Peci pod Sněžkou,Q1641742
Peklovsi,Q12044563
Pernarci,Q2699023
Perštejně,Q544453
Peřimově,Q595794
Petkovech,Q2294056
Petrově nad Desnou,Q2031128
Pikárci,Q94507
Písařově Vesci,Q2120631
Pískově,Q1692099
Pivkovicích,Q774222
Pláckách,Q12045689
Plástovicích,Q8555580
Plavči,Q510469
Plavsku,Q288849
Pleši,Q2856472
Pleších,Q748304
Plchovicích,Q2063875
Plchůvkách,Q12045577
Ploskovicích,Q1017256
Počedělicích,Q2702357
Počenicích,Q2107197
Podbradci,Q12045825
Podbřežicích,Q428876
Poděvousech,Q2703660
Podhorním Újezdu,Q12045842
Podhořanech,Q10817295
Podhradí nad Dyjí,Q1598495
Pohledci,Q12046038
Pohnání,Q1809029
Pohodlí,Q12046042
Pohorovicích,Q1088434
Pohoři,Q12046054
Pohřebačce,Q12046106
Pochvalově,Q2694737
Polevsku,Q1894605
Polichně,Q12046199
Polné na Šumavě,Q12046228
Polních Voděradech,Q2597977
Polomí,Q2416997
Pomezí nad Ohří,Q1529182
Ponětovicích,Q749807
Popelíně,Q2104146
Popelištné,Q12046367
Pornicích,Q12046413
Pořežíně,Q12046687
Potočné,Q1263861
Potůčkách,Q1916436
Potvorově,Q1842120
Pouchově,Q12046542
Poušti,Q12046566
Pozděchově,Q1022320
Prakšicích,Q1287381
Prasetíně,Q12046857
Prasklicích,Q374528
Prasku,Q2061773
Pravech,Q1882178
Pravětíně,Q12046889
Prokopově,Q2220071
Proseči nad Nisou,Q12047203
Proseticích,Q12047194
Prosiměřicích,Q2066062
Proskovicích,Q3509937
Prostřední Lhotě,Q12047228
Prostřední Suché,Q7251127
Prostředních Bludovicích,Q11689277
Provodíně,Q1625054
Prusicích,Q2702160
Přeborově,Q2245449
Přečíně,Q12048094
Předíně,Q245612
Předmíři,Q971988
Přední Kopanině,Q1810336
Předních Zborovicích,Q1194417
Předoníně,Q12047947
Předoticích,Q728813
Předslavicích,Q3554
Přehýšově,Q2640422
Přelíci,Q2237910
Přešíně,Q12048098
Přešovicích,Q246769
Přezleticích,Q373414
Příbrazi,Q548142
Příložanech,Q12048187
Příměticích,Q12048200
Přísnoticích,Q2003052
Přívěticích,Q2702403
Přívorech,Q12048323
Psárech,Q640046
Psinicích,Q12047492
Pteníně,Q1840338
Ptenském Dvorku,Q12047558
Pticích,Q1983266
Puclicích,Q1887551
Puchlovicích,Q2061684
Puklicích,Q126568
Pusté Kamenici,Q1809690
Pusté Polomi,Q1844185
Pustějově,Q2530406
Rabštejně,Q12048448
Rabyni,Q1686681
Radeníně,Q2214068
Radhosticích,Q1935493
Radimovicích u Želče,Q2232858
Radkovech,Q1881061
Radkovicích u Hrotovic,Q245733
Radobyčicích,Q12048628
Radomilově,Q12048632
Radovesicích,Q2065609
Radovesnicích I,Q2188020
Raduni,Q935873
Radvánovicích,Q12048702
Ramzové,Q362689
Rantířově,Q128760
Rapotíně,Q303561
Rasoškách,Q2090455
Ratboři,Q2696541
Ratměřicích,Q2037421
Ražicích,Q1933212
Rejvízu,Q992949
Reksyni,Q12049164
Roblíně,Q2659896
Ročově,Q164579
Rodvínově,Q2161430
Rohli,Q970977
Rojetíně,Q2162578
Rojšíně,Q12049631
Rokytnici nad Rokytnou,Q1610067
Ropici,Q2166312
Roprachticích,Q2107827
Roseči,Q2167392
Rosovicích,Q2020032
Rouchovanech,Q246739
Rousínovci,Q2169363
Rozdrojovicích,Q375258
Rozhraní,Q2003123
Rozseči nad Kunštátem,Q1669094
Rozsochatci,Q2635307
Roztokách u Semil,Q2139862
Rozvadově,Q2164897
Roženeckých Pasekách,Q12050069
Rudimově,Q1969871
Ruprechticích,Q9324052
Rusavě,Q1969895
Ruzyni,Q2331979
Rybářích,Q12050450
Rybí,Q2290119
Rybitví,Q2180966
Rybništi,Q2178179
Rychalticích,Q9324339
Rymicích,Q2521173
Rynolticích,Q2007704
Ryšíně,Q12050521
Řásné,Q128756
Řehlovicích,Q386792
Řenčích,Q386817
Řepníkách,Q2280811
Řeporyjích,Q2067699
Řepově,Q2659902
Řetové,Q1921691
Řeži,Q7349095
Říčkách v Orlických horách,Q387030
Římovicích,Q10514232
Řípově,Q10530601
Řitce,Q2039958
Sázavce,Q2261769
Sebuzíně,Q11087983
Sedlecku,Q12051228
Sedlejovicích,Q12051238
Sedloňově,Q1302637
Sedlově,Q12051268
Sedlovicích,Q12051269
Sehradicích,Q577096
Sejřku,Q94520
Semčicích,Q2659905
Semněvicích,Q2164933
Semonicích,Q12051374
Senkově,Q12051401
Senomatech,Q2396342
Senoradech,Q1755978
Senotíně,Q428034
Sestrouni,Q12051528
Sirákově,Q94211
Skalné,Q946743
Skašově,Q368465
Skočově Lhotě,Q12054511
Skochovicích,Q12054486
Skotnici,Q2148439
Skramníkách,Q12054512
Skřipově,Q651645
Skřípově,Q1962432
Skřivani,Q12054622
Skutíčku,Q12054592
Skvrňově,Q1990697
Slavhosticích,Q2479323
Slavičkách,Q246640
Slavňovicích,Q12054734
Slavoníně,Q9338536
Sledovicích,Q12054736
Slezských Rudolticích,Q675529
Slotově,Q12054807
Slupenci,Q12054930
Smederově,Q12054975
Smidarské Lhotě,Q12054985
Smilkově,Q2007716
Smolině,Q12055017
Snětu,Q155337
Sněžníku,Q12055167
Soběhrdech,Q930541
Soběrazi,Q2287034
Soběslavicích,Q124548
Sobočicích,Q12055174
Sojovicích,Q2697308
Sousedovicích,Q924208
Spačicích,Q12055555
Spáňově,Q2125151
Spytovicích,Q12055745
Stádlci,Q1977388
Stanovém,Q12056071
Staré Olešce,Q12056147
Staré Skřeněři,Q12056154
Staré Vsi nad Ondřejnicí,Q2269706
Starém Hobzí,Q1122331
Starém Klíčově,Q12056239
Starém Lískovci,Q3565077
Starém Městě pod Landštejnem,Q2065573
Starém Pelhřimově,Q12056246
Starém Samechově,Q12056253
Starém Smolivci,Q12056252
Starém Spálenci,Q12056256
Starosedlském Hrádku,Q2311468
Starých Bříštích,Q164533
Starých Bukách,Q2700909
Starých Ždánicích,Q925951
Statenicích,Q2659673
Stavěšicích,Q2148851
Stochově,Q158432
Stojslavicích,Q12056457
Stolanech,Q2276550
Stonařově,Q933361
Stožci,Q605736
Stožicích,Q1193175
Stradouni,Q2520598
Strahovicích,Q2153679
Strachoticích,Q630722
Strachotíně,Q749582
Strakově,Q2127298
Strančicích,Q2034257
Stránském,Q12056661
Straškově,Q12056550
Stratově,Q1531985
Stráži nad Nisou,Q703164
Strenicích,Q2284903
Stropčicích,Q12056614
Strunkovicích nad Volyňkou,Q1194438
Strupčicích,Q2066071
Strýčkovicích,Q12056693
Střekově,Q13368674
Střemchoví,Q7630263
Střezimíři,Q1997738
Střílkách,Q384947
Studenově,Q12056718
Stupčicích,Q12056785
Stupně,Q12337480
Stvolínkách,Q1342977
Stvolnech,Q12056788
Sudslavě,Q2228084
Suchově,Q928158
Suchovršicích,Q369098
Sulejovicích,Q2500612
Sulkovci,Q93483
Sumrakově,Q12057228
Svařeni,Q12057598
Svaté Barboře,Q12057394
Svatém Janu pod Skalou,Q532233
Svatém Jiří,Q2202281
Svatém Kříži,Q12057422
Svatém Štěpánu,Q2370660
Svatogothardské Lhotě,Q12057334
Svéradicích,Q2449605
Světí,Q2061654
Světlicích,Q12057736
Svijanském Újezdě,Q2304881
Svinarech,Q12057605
Svobodíně,Q12057657
Svobodných Dvorech,Q12057651
Svrčovci,Q12057678
Svrkyni,Q1970605
Sychotíně,Q12057793
Syrově,Q1091125
Šárovcově Lhotě,Q962599
Šebetově,Q206284
Šebrově,Q10396877
Šelešovicích,Q391403
Šenově u Nového Jičína,Q2472510
Šilheřovicích,Q391588
Šindlových Dvorech,Q8558759
Šípech,Q2225574
Šišmě,Q391760
Škrdlovicích,Q93476
Škrli,Q195592
Škvořeticích,Q392146
Šlapanově,Q2296112
Šlapánově,Q10407793
Šlechtíně,Q10407992
Šonově,Q392206
Špinově,Q10412778
Štáblovicích,Q1902235
Šťáhlavicích,Q10267434
Štemplovci,Q10419784
Štěnci,Q10425091
Štichově,Q430156
Štípě,Q392513
Šumavských Hošticích,Q392669
Šumbarku,Q3502135
Švábech,Q10503461
Švábově,Q246214
Tasicích,Q12058329
Tatenicích,Q735673
Tavíkovicích,Q2700530
Tažovické Lhotě,Q12058432
Tedražicích,Q12178472
Tehovci,Q1962476
Telicích,Q12058585
Teplýšovicích,Q1903093
Těrlicku,Q1575784
Těšánkách,Q12060230
Těšenově,Q12060214
Těšnovicích,Q12060226
Tikovicích,Q12058980
Tisé,Q1982889
Tlestkách,Q12059084
Tlučné,Q2467602
Tmani,Q2373679
Tmáni,Q12059102
Tobolce,Q12059120
Točné,Q3490254
Tojicích,Q600890
Toužetíně,Q2302924
Traplicích,Q968735
Trboušanech,Q2298813
Trocnově,Q655554
Trojovicích,Q974377
Troskotovicích,Q1118271
Trpišově,Q12059782
Třebeni,Q1184724
Třebíčku,Q8556014
Třebívlicích,Q2097176
Třebkově,Q12060273
Třebnouševsi,Q2700513
Třebomyslicích,Q12060280
Třebosicích,Q2520689
Třebověticích,Q12060293
Třebsku,Q2130002
Třech Sekerách,Q1088428
Třesovicích,Q1813242
Třitimi,Q8558544
Tučíně,Q984057
Tuchoticích,Q12059844
Tůni,Q12223971
Tupci,Q12059892
Tuři,Q2547458
Tušovicích,Q2698070
Tužíně,Q12060011
Týně nad Bečvou,Q1670436
Úboči,Q2209228
Úborsku,Q11084843
Úhlejově,Q1970044
Uhlířích,Q11877686
Uhlířově,Q2702210
Úhřeticích,Q768349
Ujčově,Q1289074
Újezdě nad Zbečnem,Q11086044
Újezdě pod Přimdou,Q330031
Újezdě u Chanovic,Q11086066
Újezdě u Chocně,Q2350624
Újezdu u Rosic,Q330066
Ujkovicích,Q2463374
Úklidu,Q11086446
Úlohu,Q11086556
Úlovicích,Q11086579
Úmyslovicích,Q330236
Únějovicích,Q2703635
Unerázce,Q11878385
Unkovicích,Q2298382
Úsilném,Q330280
Úsilově,Q2703591
Úsobí,Q158969
Ústupu,Q305113
Útěšově,Q11088995
Útvině,Q330551
Uzeničkách,Q247995
Vacíkově,Q11867546
Václaví,Q11986049
Václavově u Bruntálu,Q2353719
Vadčicích,Q11867950
Valdíkově,Q246244
Valově,Q11875860
Valtínově,Q11876397
Valtířově,Q11876414
Vápenkách,Q2535884
Vápně,Q11987987
Vavřeticích,Q11877975
Včelné pod Boubínem,Q12000379
Věcově,Q94511
Vedrovicích,Q1952926
Věchnově,Q93445
Vejvanovicích,Q2350262
Velaticích,Q2300317
Velenově,Q2300306
Veletíně,Q11878350
Velichovkách,Q967450
Velinách,Q2521148
Velké Čermné,Q11878893
Velké Chmelištné,Q2297814
Velké Jesenici,Q2304851
Velké Skrovnici,Q2351873
Velkém Jeníkově,Q11878993
Velkém Ořechově,Q749844
Velkém Ratmírově,Q634848
Velkém Tresném,Q94595
Velkém Třebešově,Q1530974
Velkém Vřešťově,Q513053
Velkých Hostěrádkách,Q202910
Velkých Hydčicích,Q2524131
Velkých Kuněticích,Q1017278
Velkých Němčicích,Q1023862
Velkých Petrovicích,Q1928526
Velkých Skalinách,Q11878952
Velkých Těšanech,Q11878959
Veltěži,Q11879174
Vémyslicích,Q2688960
Verměřovicích,Q2350289
Veřovicích,Q1900379
Věstínku,Q2536520
Věšťanech,Q12004733
Věštíně,Q12004665
Věteřově,Q2469287
Vícově,Q1924545
Vidhosticích,Q11895037
Vikýřovicích,Q1255985
Vilíně,Q11900799
Vítějevsi,Q2520669
Vitějovicích,Q1437616
Vlačicích,Q2696611
Vladměřicích,Q11912238
Vladyčíně,Q11912395
Vlachově Lhotě,Q1789554
Vlastibořicích,Q2305045
Vlaštovičkách,Q11916689
Vlčetínci,Q2297685
Vlčích Dolech,Q2529741
Vlčovicích,Q10856841
Vleticích,Q11916805
Vlhošti,Q11917058
Vlkanči,Q2199741
Vlkančicích,Q2662010
Vlkovci,Q11917590
Vlkové,Q11917709
Vokšicích,Q11928027
Volči,Q1924250
Volfarticích,Q268483
Vonoklasech,Q2659926
Vraclavi,Q2218035
Vraném,Q2687038
Vratíkově,Q11939106
Vrátně,Q1912798
Vrbátkách,Q1968788
Vrbovci,Q2304943
Vrbové Lhotě,Q258149
Vrcově,Q1618972
Vrcovicích,Q2569152
Vršcích,Q2472043
Vstiši,Q2001481
Všekarech,Q2540412
Všemyslicích,Q1408733
Všeradicích,Q744228
Všeradově,Q1875736
Vůsí,Q2920832
Vykáni,Q340031
Výklekách,Q1440604
Vysokově,Q1658570
Vysokých Popovicích,Q1867812
Vysokých Studnicích,Q284356
Vyšehoří,Q540350
Výšovicích,Q2162282
Zábludově,Q10861683
Záborčí,Q10861691
Zadních Zborovicích,Q10857100
Zadražanech,Q10857107
Záhlinicích,Q10861740
Záhvozdí,Q10861778
Zachotíně,Q139721
Zálesní Lhotě,Q246840
Zalužanech,Q783526
Záříčí u Mladé Vožice,Q11082428
Závidkovicích,Q11081536
Závišicích,Q247081
Závratech,Q247100
Závsí,Q11082004
Zbenicích,Q2666933
Zboníně,Q10857347
Zboňku,Q10857348
Zbrašíně,Q729504
Zbůchu,Q168907
Zbynicích,Q10857383
Zbytinách,Q168325
Zdebuzevsi,Q10857443
Zdislavi,Q10857854
Zechovicích,Q10857993
Zeměticích,Q189420
Zhoři u Mladé Vožice,Q2538409
Zlenicích,Q10861103
Zlíči,Q10861163
Zlončicích,Q748388
Zlukově,Q207265
Znětínku,Q93469
Zvěstoníně,Q10861662
Zvěstově,Q2663373
Zvěstovicích,Q2569474
Zvíroticích,Q10861653
Zvůli,Q10861675
Žabokrkách,Q10269648
Žalhosticích,Q393358
Žďárech,Q10296683
Žďárné,Q394520
Žebnicích,Q10271869
Žehuni,Q393481
Želatovicích,Q202986
Želechách,Q10273190
Želénkách,Q10281949
Želešicích,Q393599
Železném Újezdě,Q10280457
Želízech,Q2208558
Ženklavě,Q393839
Žeravinách,Q393862
Žernovicích,Q393883
Žeroticích,Q2176847
Žerovicích,Q10283870
Žlebských Chvalovicích,Q2351811
Žofíně,Q10296427
Žulové,Q394278
Adolfovicích,Q924651
Dobřívu,Q1233675
Křoví,Q72407
Mlýnečku,Q12038353
Moránech,Q12038711
Smolnici,Q2665515
Velké Černoci,Q11878898
Prostějově,Q470445
Písku,Q158245
Táboře,Q193721
Kladně,Q155993
Náchodě,Q591823
Příbrami,Q841296
Kyjově,Q104587
Pelhřimově,Q1000073
Čáslavi,Q341777
Valašském Meziříčí,Q375651
Benešově,Q470394
Jaroměři,Q999961
Humpolci,Q1000060
Košicích,Q25409
Hodoníně,Q321778
Berouně,Q827041
Mělníku,Q320939
Sušici,Q1000056
Hořicích,Q927541
Žatci,Q393426
Opočně,Q1019967
Žilině,Q25797
Broumově,Q990988
Počátkách,Q1632616
Pacově,Q746111
Hlinsku,Q1433206
Blatné,Q804395
