place,QID
Bystřici nad Olší,Q265711
Bytči,Q27907
Cáchách,Q1017
Černilově,Q1992417
Černilově u Hradce Králové,Q1992417
Českém Meziříčí,Q341169
Dolní Dobrouči,Q652065
Drahanovicích,Q1255315
Držkově,Q1261853
Dublinu,Q1761
Frenštátu pod Radhoštěm,Q668695
Gelnici,Q842028
Holicích u Pardubic,Q1624693
Horní Bečvě,Q2232658
Hořepníku,Q640249
Hovězí,Q1022360
Chropyni u Kroměříže,Q1017232
Chýnově u Tábora,Q1018863
Jeně,Q3150
Kamenném Újezdě,Q12027851
Kasejovicích,Q1641787
Klánovicích,Q2501433
Kodani,Q1748
koncentračním táboře Dachau,Q151198
Kosmonosích,Q1394252
Kostelci u Holešova,Q1785194
Křinci,Q1256711
Křivoklátě,Q1597372
Kuksu,Q186848
Kvasicích u Kroměříže,Q1794830
Levicích,Q506693
Libštátě,Q766484
Líšni u Brna,Q11341807
Lobzech u Plzně,Q12033770
Luži u Vysokého Mýta,Q1020927
Malých Svatoňovicích,Q1818270
Meranu,Q131605
Mostu,Q146363
Nise,Q815721
Nové Včelnici,Q1861156
Omaze,Q43199
Oslavanech,Q1756935
Ostravici,Q1895151
Palkovicích,Q2700483
Parmě,Q2683
Pavlíkově u Rakovníka,Q1853105
Radomyšli,Q1088799
Raspenavě,Q1258284
Rtyni,Q12050080
Seničce u Litovle,Q1512325
Smidarech,Q1388600
Solnici u Rychnova nad Kněžnou,Q742932
Spišském Podhradí,Q537778
Střelicích u Brna,Q1707322
Trojanovicích,Q973536
Třebechovicích,Q1852528
Újezdě u Brna,Q330055
Ulmu,Q3012
Úsově,Q330302
Vancouveru,Q24639
Velešíně,Q2092152
Velkém Týnci,Q1782177
Zruči nad Sázavou,Q227189
Žitavě,Q157200
Žlebech u Čáslavi,Q2696837
Albrechticích nad Orlicí,Q1911596
Bánovcích nad Bebravou,Q549849
Bernu,Q70
Bludově u Šumperka,Q885546
Boleradicích,Q251671
Borohrádku,Q765670
Boskovicích na Moravě,Q894440
Brémách,Q24879
Brezně,Q465312
Bystřici nad Perštejnem,Q1018700
Cvikově,Q1008656
Čáslavicích u Třebíče,Q128768
Červených Pečkách,Q679866
Čisté u Rakovníka,Q2180531
Dědicích u Vyškova,Q11862917
Dobrovici,Q1028040
Dolním Bousově,Q936537
Doubravníku,Q1251610
Dubňanech u Hodonína,Q579957
Erfurtu,Q1729
Halenkově,Q1022338
Hodolanech u Olomouce,Q9293187
Horních Beřkovicích,Q203723
Hrabyni,Q1367726
Chrášťanech u Rakovníka,Q2447020
Chropyni,Q1017232
Chroustovicích,Q1894653
Ingolstadtu,Q3004
Jablonci,Q12022187
Káhiře,Q85
Kaznějově,Q1737551
Kladsku,Q284604
Kolíně nad Labem,Q470369
Kolodějích nad Lužnicí,Q1486289
koncentračním táboře v Osvětimi,Q7341
Kostelci nad Ohří,Q12031118
Králově Dvoře u Berouna,Q1790512
Kralovicích u Plzně,Q1017240
Krásném Březně,Q4238171
Kunštátu,Q1381784
Kynšperku nad Ohří,Q188062
Letohradě,Q1010158
Lodži,Q580
Lomu u Mostu,Q745031
Mariboru,Q1010
Milíně u Příbrami,Q2697759
Moravičanech,Q774975
Moravské Nové Vsi,Q603591
Mutějovicích u Rakovníka,Q2362621
Nové Vsi u Chotěboře,Q2520945
Oldenburgu,Q2936
Olšanech u Prostějova,Q1447678
Ostroměři,Q1762083
Ostrožské Nové Vsi,Q385890
Ostředku u Benešova,Q2696182
Plané nad Lužnicí,Q590362
Plánici,Q639814
Plasích u Plzně,Q1008589
Polešovicích,Q2427105
Poříčí nad Sázavou,Q2581978
Proseči u Skutče,Q1416480
Ronově,Q2166107
Ronově nad Doubravou,Q1420776
Rosicích nad Labem,Q12049796
Rožmberku nad Vltavou,Q646294
Rynholci,Q2228345
Řevničově,Q1116157
Řezně,Q2978
Sedlci u Sedlčan,Q12051222
Seredi,Q429676
Sokolnicích u Brna,Q476519
Staré Dobevi u Písku,Q12056134
Staré Turé,Q512771
Světlé pod Ještědem,Q284601
Svitávce,Q2304969
Štěkni,Q392571
Štěpánově u Olomouce,Q392610
Topoľčanech,Q750423
Trmicích,Q978446
Trstené,Q847350
Třebotově,Q2336733
Třemošné,Q1852454
Tuchoměřicích,Q2659866
Turíně,Q495
Vansdorfu,Q158275
Velharticích,Q597712
Velkém Oseku,Q2064029
Velkých Hamrech,Q1812126
Vysokém Veselí,Q729166
Zbraslavicích,Q1810377
Zvoleně,Q11874
Železnici u Jičína,Q393519
Babicích nad Svitavou,Q797681
Badenu u Vídně,Q486450
Batelově,Q2527033
Bělčicích u Blatné,Q855757
Benešově nad Černou,Q817143
Benešově u Semil,Q817146
Bernarticích nad Odrou,Q823130
Braunschweigu,Q2773
Břestu u Kroměříže,Q727681
Březolupech,Q1022185
Březových Horách u Příbrami,Q11706989
Bystřici u Benešova,Q775776
Cítolibech,Q900615
Dolanech u Olomouce,Q1235304
Dolní Cerekvi,Q2537848
Dolních Štěpanicích u Jilemnice,Q11818134
Dolním Benešově,Q1236048
Dubňanech,Q579957
Dunajské Stredě,Q646393
Dušníkách u Prahy,Q18718608
Gdaňsku,Q1792
Handlové,Q842011
Holoubkově,Q2334309
Horní Čermné,Q2350541
Horní Suché,Q599055
Horních Černošicích,Q339112
Horním Slavkově,Q924085
Hrádku nad Nisou,Q704033
Hrádku u Sušice,Q2524786
Hroznové Lhotě,Q1632460
Hustopečích nad Bečvou,Q1021063
Chřibské,Q1091181
Janovicích nad Úhlavou,Q1682956
Kamenici u Jihlavy,Q2154120
Klagenfurtu,Q41753
Klecanech,Q291237
Králově Dvoře,Q1790512
Krásnu nad Bečvou,Q1719724
Krupině,Q756667
Křtinách,Q1797682
Kupičově,Q2065576
