nakladatelky a vydavatelky;Q2516866
hispanistky;Q2505739
šermíři;Q13381863
kurátorky výstav;Q780596
poradkyně;Q2994387
geografky;Q901402
úřednice;Q599151
správní úřednice;Q23656820
státní úřednice;Q212238
elektrotechničky;Q1327627
materiáloví inženýři;Q21329070
dětské chirurgyně;Q19842050
dětští chirurgové;Q19842050
stomatochirurgové;Q112120730
stomatochirurgyně;Q112120730
anatomové;Q10872101
anatomky;Q10872101
neurovědci;Q6337803
neurovědkyně;Q6337803
transplantologové;Q7834824
transplantoložky;Q7834824
parazitologové;Q12773412
parazitoložky;Q12773412
neonatoložky;Q28569455
neuropatologové;Q15839237
neuropatoložky;Q15839237
transfuziologové;Q60176870
transfuzioložky;Q60176870
zdravotní laborantky;Q1483433
cembalisté;Q5371902
muzejní pracovnice;Q10333969
kurátorky sbírek;Q674426
